epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,603.496,1.10641,0.91571,0.4926,0.63728,1.41054,0.99023,0.9823,0.99417,0.74504,0.99725,0.97345,0.975,0.89824,1.00242,0.61705,0.41407,0.5037,1.23879,0.0017426,0.0017426,0.0017426
28,627.108,1.07473,0.93547,0.46996,0.62166,1.37148,1,0.9785,0.99466,0.75274,0.99577,0.9646,0.97491,0.89127,0.9483,0.61318,0.39197,0.48141,1.2084,0.0017327,0.0017327,0.0017327
29,648.527,1.06198,0.95795,0.46947,0.64591,1.34753,0.97247,0.97345,0.98147,0.64812,0.97247,0.97345,0.97339,0.85596,1.22538,0.71392,0.39228,0.50877,1.3725,0.0017228,0.0017228,0.0017228
30,670.179,1.07997,0.82059,0.45899,0.62398,1.38473,0.98649,0.97345,0.98299,0.64966,0.99074,0.9823,0.985,0.91157,1.12934,0.65717,0.45987,0.50502,1.33123,0.0017129,0.0017129,0.0017129
31,692.393,1.04606,0.99284,0.45527,0.64061,1.35639,0.9992,0.9823,0.9914,0.77166,0.9992,0.9823,0.985,0.88519,0.84799,0.58251,0.40526,0.48143,1.14434,0.001703,0.001703,0.001703
32,714.716,1.03523,0.75972,0.44278,0.6286,1.34754,0.98975,0.9823,0.9938,0.79472,0.99878,0.99115,0.995,0.87133,0.83765,0.67923,0.333,0.57002,1.16043,0.0016931,0.0016931,0.0016931
33,737.462,1.08599,0.81397,0.43355,0.63374,1.39506,0.99722,0.97345,0.9944,0.73256,1,0.98206,0.985,0.88177,0.94403,0.60062,0.3546,0.50818,1.23741,0.0016832,0.0016832,0.0016832
34,759.751,1.05347,0.81813,0.42676,0.61069,1.34669,1,0.981,0.99491,0.80404,1,0.981,0.985,0.90728,0.73478,0.64403,0.37192,0.42354,1.11318,0.0016733,0.0016733,0.0016733
35,782.053,1.09117,0.89596,0.40644,0.64532,1.37494,0.99349,0.97345,0.98868,0.71735,0.989,0.9823,0.98491,0.85444,1.07407,0.61846,0.31493,0.51069,1.25515,0.0016634,0.0016634,0.0016634
36,804.798,1.11162,0.79996,0.40834,0.63327,1.38957,0.97896,0.97345,0.98101,0.50138,0.97896,0.97345,0.97437,0.84289,1.64987,0.70073,0.32118,0.6654,1.76134,0.0016535,0.0016535,0.0016535
37,826.619,1.0371,0.76204,0.39069,0.61194,1.36426,0.99855,0.97345,0.98907,0.7019,0.99855,0.97345,0.975,0.91991,1.09291,0.5322,0.29758,0.46856,1.22653,0.0016436,0.0016436,0.0016436
38,848.197,0.97948,0.69327,0.38915,0.59573,1.31146,0.99832,0.97345,0.99291,0.81381,0.99832,0.97345,0.975,0.89795,0.78401,0.5677,0.30293,0.43214,1.10432,0.0016337,0.0016337,0.0016337
39,870.188,1.023,0.70652,0.38065,0.59542,1.33676,0.99007,0.9823,0.99337,0.81419,0.98573,0.97345,0.97464,0.91868,0.85289,0.56823,0.29024,0.46658,1.15558,0.0016238,0.0016238,0.0016238
40,892.466,1.00874,0.77738,0.38998,0.59861,1.31747,0.98959,0.9823,0.98947,0.68406,0.99089,0.9823,0.985,0.86869,1.17698,0.59298,0.28694,0.55194,1.34522,0.0016139,0.0016139,0.0016139
41,914.951,0.98297,0.67051,0.36293,0.56021,1.33054,0.96524,0.98309,0.98421,0.77575,0.97339,0.97119,0.97431,0.89776,0.82025,0.56863,0.27948,0.45268,1.16418,0.001604,0.001604,0.001604
42,936.747,0.94237,0.64149,0.35104,0.56055,1.28687,1,0.98883,0.995,0.76444,1,0.98883,0.995,0.92282,0.9586,0.5423,0.235,0.46151,1.19502,0.0015941,0.0015941,0.0015941
43,958.939,1.01649,0.69524,0.35565,0.57326,1.33917,0.9974,0.99115,0.995,0.77737,0.9974,0.99115,0.995,0.95621,0.79254,0.43879,0.2537,0.46494,1.12034,0.0015842,0.0015842,0.0015842
44,981.386,1.00798,0.70644,0.34099,0.59563,1.31061,0.98918,0.99115,0.99482,0.79141,0.99784,0.97345,0.975,0.94112,0.78593,0.50221,0.22845,0.48795,1.13008,0.0015743,0.0015743,0.0015743
45,1003.29,1,0.67308,0.32892,0.58609,1.33891,0.9897,0.99115,0.99482,0.80673,0.99847,0.97345,0.975,0.91557,0.77335,0.56475,0.30361,0.46827,1.10751,0.0015644,0.0015644,0.0015644
46,1025.54,0.99651,0.58437,0.32516,0.56099,1.31713,0.95683,0.98084,0.99301,0.69298,0.98509,0.9469,0.98336,0.88445,0.97788,0.81066,0.2959,0.56124,1.24666,0.0015545,0.0015545,0.0015545
47,1047.45,0.98962,0.66348,0.3343,0.58026,1.30737,0.99106,0.98147,0.99395,0.73526,0.99106,0.98147,0.98627,0.88779,0.9316,0.63146,0.20971,0.49736,1.21996,0.0015446,0.0015446,0.0015446
48,1070.16,0.97386,0.50248,0.29888,0.56423,1.32141,1,0.98109,0.99491,0.74521,0.99879,0.97345,0.975,0.8707,0.93427,0.51399,0.21552,0.45557,1.15298,0.0015347,0.0015347,0.0015347
49,1092.57,0.99325,0.60286,0.30822,0.57808,1.31789,0.99106,0.98076,0.99182,0.7819,0.99106,0.98076,0.98863,0.91366,0.83412,0.52565,0.24462,0.42803,1.14726,0.0015248,0.0015248,0.0015248
50,1114.47,0.99238,0.57617,0.31483,0.54406,1.3092,1,0.98094,0.99404,0.74234,1,0.98094,0.985,0.89192,0.95073,0.49342,0.17597,0.44429,1.1456,0.0015149,0.0015149,0.0015149
51,1136.62,0.98866,0.55359,0.30621,0.57726,1.31671,1,0.97991,0.99396,0.78425,0.99115,0.99123,0.995,0.9628,0.84146,0.36339,0.1964,0.42066,1.11344,0.001505,0.001505,0.001505
52,1158.72,0.95607,0.60667,0.29879,0.5525,1.27965,0.99713,0.97345,0.99269,0.79171,0.98772,0.99115,0.99482,0.95356,0.83206,0.38852,0.21182,0.42892,1.11958,0.0014951,0.0014951,0.0014951
53,1181.14,0.92867,0.60958,0.30206,0.52946,1.27689,1,0.98082,0.985,0.79759,0.99765,0.97345,0.975,0.91445,0.82696,0.47845,0.27281,0.39676,1.06393,0.0014852,0.0014852,0.0014852
54,1203.9,0.92158,0.62848,0.31118,0.55648,1.2679,0.99741,0.97345,0.99131,0.78735,1,0.98086,0.995,0.93967,0.80225,0.45485,0.15241,0.39173,1.0524,0.0014753,0.0014753,0.0014753
55,1226.72,0.91551,0.6103,0.29426,0.53896,1.25754,0.98605,0.9823,0.99197,0.82837,0.9951,0.99115,0.995,0.93892,0.69622,0.50808,0.34074,0.40278,1.04797,0.0014654,0.0014654,0.0014654
56,1248.41,0.92398,0.599,0.28559,0.53139,1.25395,0.99804,1,0.995,0.80724,1,0.9894,0.995,0.94423,0.75126,0.44043,0.25152,0.40355,1.07361,0.0014555,0.0014555,0.0014555
57,1270.14,0.91125,0.57928,0.28676,0.52763,1.25873,0.99002,0.9823,0.99389,0.80921,0.99087,0.99115,0.99429,0.93361,0.79235,0.42204,0.18099,0.39274,1.06846,0.0014456,0.0014456,0.0014456
58,1291.72,0.92074,0.54311,0.2821,0.52888,1.27009,1,0.97894,0.99403,0.79386,0.999,1,0.995,0.9639,0.79533,0.29669,0.15227,0.38311,1.07731,0.0014357,0.0014357,0.0014357
59,1314.09,0.936,0.53729,0.28301,0.53453,1.27552,0.98965,0.9823,0.99409,0.77395,1,0.99834,0.995,0.95073,0.85661,0.34372,0.13989,0.41236,1.12941,0.0014258,0.0014258,0.0014258
